event_id,user_id,timestamp,event_type,resource_id,sensitive_resource_flag,records_accessed,device_id,new_device_flag,permission_change_flag,new_permission_level,beneficiary_id,new_beneficiary_flag,transaction_amount
E000043,U009,2026-03-02T10:52:00,file_access,RES-012,0,3,DEV-014,0,0,,,0,0.0
E000044,U016,2026-03-02T10:55:00,transaction,,0,0,DEV-008,0,0,,BEN-013,0,2547.23
E000045,U018,2026-03-02T11:00:00,transaction,,0,0,DEV-039,0,0,,BEN-007,0,192.42
E000046,U018,2026-03-02T11:07:00,file_access,RES-020,0,16,DEV-039,0,0,,,0,0.0
E000047,U002,2026-03-02T11:32:00,transaction,,0,0,DEV-015,0,0,,BEN-025,0,24.67
E000048,U009,2026-03-02T11:37:00,transaction,,0,0,DEV-014,0,0,,BEN-008,0,0
E000049,U009,2026-03-02T11:49:00,file_access,RES-056,0,13,DEV-014,0,0,,,0,0.0
E000050,U009,2026-03-02T11:58:00,file_access,RES-051,0,6,DEV-014,0,0,,,0,0.0
E000051,U004,2026-03-02T12:08:00,transaction,,0,0,DEV-003,0,0,,BEN-008,0,1150.8
E000052,U007,2026-03-02T12:14:00,transaction,,0,0,DEV-005,0,0,,BEN-024,0,519.64
E000053,U003,2026-03-02T13:55:00,login,,0,0,DEV-018,0,0,,,0,0.0
E000054,U010,2026-03-02T14:01:00,login,,0,0,DEV-017,0,0,,,0,0.0
E000055,U003,2026-03-02T14:20:00,file_access,RES-051,0,4,DEV-018,0,0,,,0,0.0
E000056,U008,2026-03-02T14:26:00,login,,0,0,DEV-036,0,0,,,0,0.0
E000057,U003,2026-03-02T14:48:00,file_access,RES-056,0,2,DEV-018,0,0,,,0,0.0
E000058,U005,2026-03-02T14:53:00,login,,0,0,DEV-024,0,0,,,0,0.0
E000059,U008,2026-03-02T14:59:00,file_access,RES-054,0,4,DEV-036,0,0,,,0,0.0
E000060,U003,2026-03-02T15:01:00,transaction,,0,0,DEV-018,0,0,,BEN-012,0,453.27
E000061,U008,2026-03-02T15:06:00,transaction,,0,0,DEV-036,0,0,,BEN-023,0,594.17
E000062,U010,2026-03-02T15:24:00,file_access,RES-015,0,3,DEV-017,0,0,,,0,0.0
E000063,U010,2026-03-02T15:27:00,file_access,RES-053,0,15,DEV-017,0,0,,,0,0.0
E000064,U005,2026-03-02T15:30:00,file_access,RES-054,0,3,DEV-024,0,0,,,0,0.0
E000065,U020,2026-03-02T15:33:00,login,,0,0,DEV-038,0,0,,,0,0.0
E000066,U003,2026-03-02T15:43:00,file_access,RES-016,0,9,DEV-018,0,0,,,0,0.0
E000067,U005,2026-03-02T15:58:00,file_access,RES-002,1,18,DEV-024,0,0,,,0,0.0
E000068,U010,2026-03-02T15:59:00,file_access,RES-036,0,11,DEV-017,0,0,,,0,0.0
E000069,U005,2026-03-02T16:32:00,transaction,,0,0,DEV-024,0,0,,BEN-008,0,0
E000070,U020,2026-03-02T16:37:00,file_access,RES-018,0,7,DEV-038,0,0,,,0,0.0
E000071,U020,2026-03-02T17:07:00,transaction,,0,0,DEV-038,0,0,,BEN-009,0,412.49
E000072,U020,2026-03-02T17:31:00,file_access,RES-009,1,17,DEV-038,0,0,,,0,0.0
E000073,U019,2026-03-03T02:17:00,login,,0,0,DEV-024,0,0,,,0,0.0
E000074,U015,2026-03-03T02:31:00,login,,0,0,DEV-013,0,0,,,0,0.0
E000075,U006,2026-03-03T02:45:00,login,,0,0,DEV-015,0,0,,,0,0.0
E000076,U019,2026-03-03T03:00:00,file_access,RES-015,0,10,DEV-024,0,0,,,0,0.0
E000077,U006,2026-03-03T03:01:00,file_access,RES-019,0,8,DEV-015,0,0,,,0,0.0
E000078,U012,2026-03-03T03:05:00,login,,0,0,DEV-028,0,0,,,0,0.0
E000079,U013,2026-03-03T03:09:00,login,,0,0,DEV-001,0,0,,,0,0.0
E000080,U015,2026-03-03T03:13:00,file_access,RES-028,0,1,DEV-013,0,0,,,0,0.0
E000081,U013,2026-03-03T03:22:00,file_access,RES-031,0,15,DEV-001,0,0,,,0,0.0
E000082,U012,2026-03-03T03:30:00,file_access,RES-024,0,10,DEV-028,0,0,,,0,0.0
E000083,U015,2026-03-03T03:42:00,transaction,,0,0,DEV-013,0,0,,BEN-019,0,564.86
E000084,U015,2026-03-03T03:44:00,file_access,RES-002,1,17,DEV-013,0,0,,,0,0.0
E000085,U006,2026-03-03T03:47:00,file_access,RES-051,0,1,DEV-015,0,0,,,0,0.0
E000086,U015,2026-03-03T03:49:00,file_access,RES-016,0,5,DEV-013,0,0,,,0,0.0
E000087,U019,2026-03-03T03:50:00,file_access,RES-046,0,16,DEV-024,0,0,,,0,0.0
E000088,U019,2026-03-03T03:56:00,transaction,,0,0,DEV-024,0,0,,BEN-024,0,0
E000089,U019,2026-03-03T04:00:00,file_access,RES-019,0,7,DEV-024,0,0,,,0,0.0
E000090,U012,2026-03-03T04:03:00,file_access,RES-030,0,11,DEV-028,0,0,,,0,0.0
E000091,U012,2026-03-03T04:17:00,file_access,RES-014,0,13,DEV-028,0,0,,,0,0.0
E000092,U013,2026-03-03T04:34:00,file_access,RES-020,0,9,DEV-001,0,0,,,0,0.0
E000093,U013,2026-03-03T04:49:00,transaction,,0,0,DEV-001,0,0,,BEN-015,0,115.18
E000094,U012,2026-03-03T05:40:00,transaction,,0,0,DEV-028,0,0,,BEN-005,0,47.21
E000095,U002,2026-03-03T08:00:00,login,,0,0,DEV-015,0,0,,,0,0.0
E000096,U004,2026-03-03T08:07:00,login,,0,0,DEV-003,0,0,,,0,0.0
E000097,U002,2026-03-03T08:14:00,file_access,RES-035,0,7,DEV-015,0,0,,,0,0.0
E000098,U004,2026-03-03T08:29:00,file_access,RES-052,0,15,DEV-003,0,0,,,0,0.0
E000099,U002,2026-03-03T08:43:00,transaction,,0,0,DEV-015,0,0,,BEN-029,0,622.16
E000100,U001,2026-03-03T08:59:00,login,,0,0,DEV-028,0,0,,,0,0.0
E000101,U016,2026-03-03T09:01:00,login,,0,0,DEV-008,0,0,,,0,0.0
E000102,U014,2026-03-03T09:02:00,login,,0,0,DEV-017,0,0,,,0,0.0
E000103,U007,2026-03-03T09:16:00,login,,0,0,DEV-005,0,0,,,0,0.0
E000104,U009,2026-03-03T09:16:00,login,,0,0,DEV-014,0,0,,,0,0.0
E000105,U014,2026-03-03T09:23:00,file_access,RES-039,0,13,DEV-017,0,0,,,0,0.0
E000106,U002,2026-03-03T09:24:00,file_access,RES-037,0,4,DEV-015,0,0,,,0,0.0
E000107,U014,2026-03-03T09:26:00,file_access,RES-011,0,6,DEV-017,0,0,,,0,0.0
E000108,U001,2026-03-03T09:28:00,file_access,RES-007,1,4,DEV-028,0,0,,,0,0.0
E000109,U016,2026-03-03T09:28:00,transaction,,0,0,DEV-008,0,0,,BEN-008,0,2400.17
E000110,U011,2026-03-03T09:29:00,login,,0,0,DEV-009,0,0,,,0,0.0
E000111,U007,2026-03-03T09:31:00,file_access,RES-011,0,8,DEV-005,0,0,,,0,0.0
E000112,U004,2026-03-03T09:37:00,file_access,RES-034,0,18,DEV-003,0,0,,,0,0.0
E000113,U011,2026-03-03T09:37:00,file_access,RES-004,1,16,DEV-009,0,0,,,0,0.0
E000114,U007,2026-03-03T09:41:00,file_access,RES-001,1,14,DEV-005,0,0,,,0,0.0
E000115,U007,2026-03-03T09:43:00,file_access,RES-036,0,3,DEV-005,0,0,,,0,0.0
E000116,U017,2026-03-03T09:49:00,login,,0,0,DEV-032,0,0,,,0,0.0
E000117,U014,2026-03-03T09:50:00,file_access,RES-057,0,20,DEV-017,0,0,,,0,0.0
E000118,U009,2026-03-03T09:53:00,file_access,RES-043,0,1,DEV-014,0,0,,,0,0.0
E000119,U018,2026-03-03T10:03:00,login,,0,0,DEV-039,0,0,,,0,0.0
E000120,U004,2026-03-03T10:10:00,transaction,,0,0,DEV-003,0,0,,BEN-017,0,998.79
E000121,U001,2026-03-03T10:17:00,file_access,RES-031,0,8,DEV-028,0,0,,,0,0.0
E000122,U001,2026-03-03T10:44:00,file_access,RES-031,0,14,DEV-028,0,0,,,0,0.0
E000123,U018,2026-03-03T10:44:00,file_access,RES-032,0,20,DEV-039,0,0,,,0,0.0
E000124,U016,2026-03-03T10:54:00,file_access,RES-039,0,15,DEV-008,0,0,,,0,0.0
E000125,U017,2026-03-03T10:58:00,file_access,RES-059,0,2,DEV-032,0,0,,,0,0.0
E000126,U011,2026-03-03T11:01:00,file_access,RES-007,1,16,DEV-009,0,0,,,0,0.0
E000127,U017,2026-03-03T11:15:00,file_access,RES-038,0,6,DEV-032,0,0,,,0,0.0
E000128,U009,2026-03-03T11:16:00,file_access,RES-052,0,15,DEV-014,0,0,,,0,0.0
E000129,U011,2026-03-03T11:22:00,file_access,RES-026,0,14,DEV-009,0,0,,,0,0.0
E000130,U017,2026-03-03T11:32:00,file_access,RES-009,1,14,DEV-032,0,0,,,0,0.0
E000131,U014,2026-03-03T11:51:00,transaction,,0,0,DEV-017,0,0,,BEN-015,0,99.87
E000132,U007,2026-03-03T11:58:00,transaction,,0,0,DEV-005,0,0,,BEN-016,0,0
E000133,U018,2026-03-03T13:00:00,transaction,,0,0,DEV-039,0,0,,BEN-001,0,432.05
E000134,U008,2026-03-03T13:18:00,login,,0,0,DEV-036,0,0,,,0,0.0
E000135,U005,2026-03-03T13:41:00,login,,0,0,DEV-024,0,0,,,0,0.0
E000136,U008,2026-03-03T13:54:00,file_access,RES-030,0,18,DEV-036,0,0,,,0,0.0
E000137,U005,2026-03-03T13:56:00,transaction,,0,0,DEV-024,0,0,,BEN-020,0,0
E000138,U008,2026-03-03T14:16:00,transaction,,0,0,DEV-036,0,0,,BEN-029,0,849.61
E000139,U010,2026-03-03T14:19:00,login,,0,0,DEV-017,0,0,,,0,0.0
E000140,U010,2026-03-03T14:29:00,file_access,RES-003,1,10,DEV-017,0,0,,,0,0.0
E000141,U020,2026-03-03T14:45:00,login,,0,0,DEV-038,0,0,,,0,0.0
E000142,U020,2026-03-03T14:51:00,file_access,RES-048,0,11,DEV-038,0,0,,,0,0.0
E000143,U008,2026-03-03T14:53:00,file_access,RES-018,0,14,DEV-036,0,0,,,0,0.0
E000144,U008,2026-03-03T15:09:00,file_access,RES-031,0,16,DEV-036,0,0,,,0,0.0
E000145,U010,2026-03-03T15:16:00,file_access,RES-008,1,5,DEV-017,0,0,,,0,0.0
E000146,U003,2026-03-03T15:19:00,login,,0,0,DEV-018,0,0,,,0,0.0
E000147,U005,2026-03-03T15:22:00,file_access,RES-002,1,8,DEV-024,0,0,,,0,0.0
E000148,U010,2026-03-03T15:27:00,file_access,RES-008,1,4,DEV-017,0,0,,,0,0.0
E000149,U003,2026-03-03T15:52:00,file_access,RES-002,1,7,DEV-018,0,0,,,0,0.0
E000150,U003,2026-03-03T16:40:00,transaction,,0,0,DEV-018,0,0,,BEN-009,0,561.36
E000151,U010,2026-03-03T16:46:00,transaction,,0,0,DEV-017,0,0,,BEN-022,0,465.65
E000152,U020,2026-03-03T17:20:00,transaction,,0,0,DEV-038,0,0,,BEN-020,0,362.08
E000153,U013,2026-03-04T01:02:00,login,,0,0,DEV-001,0,0,,,0,0.0
E000154,U015,2026-03-04T01:05:00,login,,0,0,DEV-013,0,0,,,0,0.0
E000155,U019,2026-03-04T01:17:00,login,,0,0,DEV-024,0,0,,,0,0.0
E000156,U015,2026-03-04T01:26:00,transaction,,0,0,DEV-013,0,0,,BEN-021,0,567.51
E000157,U013,2026-03-04T01:35:00,transaction,,0,0,DEV-001,0,0,,BEN-015,0,110.91
E000158,U019,2026-03-04T01:37:00,file_access,RES-037,0,18,DEV-024,0,0,,,0,0.0
E000159,U013,2026-03-04T01:54:00,file_access,RES-054,0,10,DEV-001,0,0,,,0,0.0
E000160,U015,2026-03-04T01:56:00,file_access,RES-005,1,17,DEV-013,0,0,,,0,0.0
E000161,U019,2026-03-04T02:04:00,transaction,,0,0,DEV-024,0,0,,BEN-023,0,282.9
E000162,U012,2026-03-04T02:10:00,login,,0,0,DEV-028,0,0,,,0,0.0
E000163,U019,2026-03-04T02:10:00,file_access,RES-058,0,13,DEV-024,0,0,,,0,0.0
E000164,U006,2026-03-04T02:15:00,login,,0,0,DEV-015,0,0,,,0,0.0
E000165,U015,2026-03-04T02:19:00,file_access,RES-033,0,17,DEV-013,0,0,,,0,0.0
E000166,U015,2026-03-04T02:20:00,file_access,RES-002,1,13,DEV-013,0,0,,,0,0.0
E000167,U012,2026-03-04T02:21:00,file_access,RES-044,0,3,DEV-028,0,0,,,0,0.0
E000168,U012,2026-03-04T02:49:00,file_access,RES-029,0,14,DEV-028,0,0,,,0,0.0
E000169,U012,2026-03-04T03:15:00,transaction,,0,0,DEV-028,0,0,,BEN-014,0,511.13
E000170,U012,2026-03-04T03:17:00,file_access,RES-039,0,15,DEV-028,0,0,,,0,0.0
E000171,U006,2026-03-04T03:20:00,file_access,RES-036,0,17,DEV-015,0,0,,,0,0.0
E000172,U006,2026-03-04T03:44:00,file_access,RES-038,0,12,DEV-015,0,0,,,0,0.0
E000173,U002,2026-03-04T07:18:00,login,,0,0,DEV-015,0,0,,,0,0.0
E000174,U011,2026-03-04T07:57:00,login,,0,0,DEV-009,0,0,,,0,0.0
E000175,U004,2026-03-04T07:58:00,login,,0,0,DEV-003,0,0,,,0,0.0
E000176,U002,2026-03-04T08:19:00,file_access,RES-054,0,18,DEV-015,0,0,,,0,0.0
E000177,U001,2026-03-04T08:26:00,login,,0,0,DEV-028,0,0,,,0,0.0
E000178,U016,2026-03-04T08:36:00,login,,0,0,DEV-008,0,0,,,0,0.0
E000179,U011,2026-03-04T08:43:00,file_access,RES-039,0,5,DEV-009,0,0,,,0,0.0
E000180,U004,2026-03-04T09:00:00,file_access,RES-058,0,6,DEV-003,0,0,,,0,0.0
E000181,U004,2026-03-04T09:00:00,file_access,RES-017,0,8,DEV-003,0,0,,,0,0.0
E000182,U011,2026-03-04T09:17:00,transaction,,0,0,DEV-009,0,0,,BEN-023,0,270.07
E000183,U018,2026-03-04T09:27:00,login,,0,0,DEV-039,0,0,,,0,0.0
E000184,U004,2026-03-04T09:38:00,file_access,RES-056,0,16,DEV-003,0,0,,,0,0.0
E000185,U007,2026-03-04T09:44:00,login,,0,0,DEV-005,0,0,,,0,0.0
E000186,U001,2026-03-04T09:57:00,file_access,RES-042,0,4,DEV-028,0,0,,,0,0.0
E000187,U007,2026-03-04T09:58:00,file_access,RES-044,0,8,DEV-005,0,0,,,0,0.0
E000188,U016,2026-03-04T09:58:00,file_access,RES-010,0,15,DEV-008,0,0,,,0,0.0
E000189,U017,2026-03-04T09:59:00,login,,0,0,DEV-032,0,0,,,0,0.0
E000190,U002,2026-03-04T10:04:00,transaction,,0,0,DEV-015,0,0,,BEN-017,0,600.19
E000191,U001,2026-03-04T10:21:00,file_access,RES-047,0,2,DEV-028,0,0,,,0,0.0
E000192,U007,2026-03-04T10:22:00,file_access,RES-051,0,19,DEV-005,0,0,,,0,0.0
E000193,U009,2026-03-04T10:22:00,login,,0,0,DEV-014,0,0,,,0,0.0
E000194,U017,2026-03-04T10:32:00,file_access,RES-023,0,17,DEV-032,0,0,,,0,0.0
E000195,U017,2026-03-04T10:36:00,file_access,RES-013,0,18,DEV-032,0,0,,,0,0.0
E000196,U007,2026-03-04T10:44:00,transaction,,0,0,DEV-005,0,0,,BEN-014,0,620.47
E000197,U009,2026-03-04T11:05:00,file_access,RES-041,0,14,DEV-014,0,0,,,0,0.0
E000198,U018,2026-03-04T11:10:00,transaction,,0,0,DEV-039,0,0,,BEN-018,0,506.96
E000199,U018,2026-03-04T11:24:00,file_access,RES-017,0,12,DEV-039,0,0,,,0,0.0
E000200,U001,2026-03-04T11:42:00,transaction,,0,0,DEV-028,0,0,,BEN-008,0,0
E000201,U009,2026-03-04T11:55:00,file_access,RES-017,0,15,DEV-014,0,0,,,0,0.0
E000202,U017,2026-03-04T11:58:00,file_access,RES-019,0,3,DEV-032,0,0,,,0,0.0
E000203,U009,2026-03-04T12:15:00,file_access,RES-020,0,7,DEV-014,0,0,,,0,0.0
E000204,U008,2026-03-04T13:08:00,login,,0,0,DEV-036,0,0,,,0,0.0
E000205,U003,2026-03-04T13:22:00,login,,0,0,DEV-018,0,0,,,0,0.0
E000206,U008,2026-03-04T13:48:00,file_access,RES-050,0,14,DEV-036,0,0,,,0,0.0
E000207,U020,2026-03-04T13:54:00,login,,0,0,DEV-038,0,0,,,0,0.0
E000208,U003,2026-03-04T14:09:00,file_access,RES-002,1,4,DEV-018,0,0,,,0,0.0
E000209,U003,2026-03-04T14:32:00,file_access,RES-026,0,18,DEV-018,0,0,,,0,0.0
E000210,U003,2026-03-04T14:39:00,transaction,,0,0,DEV-018,0,0,,BEN-012,0,517.97
E000211,U020,2026-03-04T14:39:00,transaction,,0,0,DEV-038,0,0,,BEN-001,0,246.19
E000212,U005,2026-03-04T14:42:00,login,,0,0,DEV-024,0,0,,,0,0.0
E000213,U010,2026-03-04T14:47:00,login,,0,0,DEV-017,0,0,,,0,0.0
E000214,U020,2026-03-04T14:50:00,file_access,RES-043,0,4,DEV-038,0,0,,,0,0.0
E000215,U020,2026-03-04T15:04:00,file_access,RES-021,0,3,DEV-038,0,0,,,0,0.0
E000216,U003,2026-03-04T15:19:00,file_access,RES-017,0,6,DEV-018,0,0,,,0,0.0
E000217,U008,2026-03-04T15:27:00,transaction,,0,0,DEV-036,0,0,,BEN-024,0,656.12
E000218,U020,2026-03-04T15:53:00,file_access,RES-026,0,14,DEV-038,0,0,,,0,0.0
E000219,U005,2026-03-04T15:59:00,file_access,RES-014,0,15,DEV-024,0,0,,,0,0.0
E000220,U010,2026-03-04T16:01:00,file_access,RES-027,0,19,DEV-017,0,0,,,0,0.0
E000221,U005,2026-03-04T16:26:00,transaction,,0,0,DEV-024,0,0,,BEN-006,0,104.23
E000222,U010,2026-03-04T16:27:00,file_access,RES-047,0,5,DEV-017,0,0,,,0,0.0
E000223,U010,2026-03-04T16:45:00,file_access,RES-027,0,4,DEV-017,0,0,,,0,0.0
E000224,U010,2026-03-04T17:34:00,transaction,,0,0,DEV-017,0,0,,BEN-002,0,0
E000225,U013,2026-03-05T01:37:00,login,,0,0,DEV-001,0,0,,,0,0.0
E000226,U015,2026-03-05T01:47:00,login,,0,0,DEV-013,0,0,,,0,0.0
E000227,U019,2026-03-05T02:05:00,login,,0,0,DEV-024,0,0,,,0,0.0
E000228,U012,2026-03-05T02:07:00,login,,0,0,DEV-028,0,0,,,0,0.0
E000229,U006,2026-03-05T02:22:00,login,,0,0,DEV-015,0,0,,,0,0.0
E000230,U015,2026-03-05T02:37:00,file_access,RES-051,0,3,DEV-013,0,0,,,0,0.0
E000231,U013,2026-03-05T02:39:00,file_access,RES-059,0,19,DEV-001,0,0,,,0,0.0
E000232,U006,2026-03-05T02:59:00,file_access,RES-015,0,4,DEV-015,0,0,,,0,0.0
E000233,U013,2026-03-05T03:05:00,file_access,RES-013,0,11,DEV-001,0,0,,,0,0.0
E000234,U019,2026-03-05T03:06:00,file_access,RES-042,0,9,DEV-024,0,0,,,0,0.0
E000235,U012,2026-03-05T03:14:00,file_access,RES-034,0,10,DEV-028,0,0,,,0,0.0
E000236,U013,2026-03-05T03:23:00,file_access,RES-048,0,2,DEV-001,0,0,,,0,0.0
E000237,U006,2026-03-05T03:25:00,file_access,RES-018,0,10,DEV-015,0,0,,,0,0.0
E000238,U012,2026-03-05T03:38:00,file_access,RES-044,0,19,DEV-028,0,0,,,0,0.0
E000239,U019,2026-03-05T03:45:00,file_access,RES-031,0,7,DEV-024,0,0,,,0,0.0
E000240,U013,2026-03-05T03:55:00,transaction,,0,0,DEV-001,0,0,,BEN-004,0,262.8
E000241,U012,2026-03-05T03:58:00,transaction,,0,0,DEV-028,0,0,,BEN-007,0,597.09
E000242,U006,2026-03-05T03:59:00,file_access,RES-013,0,11,DEV-015,0,0,,,0,0.0
E000243,U019,2026-03-05T04:32:00,transaction,,0,0,DEV-024,0,0,,BEN-009,0,293.98
E000244,U006,2026-03-05T04:49:00,transaction,,0,0,DEV-015,0,0,,BEN-025,0,109.9
E000245,U015,2026-03-05T05:04:00,transaction,,0,0,DEV-013,0,0,,BEN-022,0,529.98
E000246,U011,2026-03-05T07:38:00,login,,0,0,DEV-009,0,0,,,0,0.0
E000247,U004,2026-03-05T08:15:00,login,,0,0,DEV-003,0,0,,,0,0.0
E000248,U011,2026-03-05T08:20:00,file_access,RES-030,0,17,DEV-009,0,0,,,0,0.0
E000249,U004,2026-03-05T08:50:00,file_access,RES-018,0,11,DEV-003,0,0,,,0,0.0
E000250,U011,2026-03-05T09:00:00,file_access,RES-028,0,4,DEV-009,0,0,,,0,0.0
E000251,U004,2026-03-05T09:16:00,file_access,RES-005,1,10,DEV-003,0,0,,,0,0.0
E000252,U007,2026-03-05T09:17:00,login,,0,0,DEV-005,0,0,,,0,0.0
E000253,U011,2026-03-05T09:24:00,file_access,RES-045,0,4,DEV-009,0,0,,,0,0.0
E000254,U007,2026-03-05T09:31:00,file_access,RES-004,1,6,DEV-005,0,0,,,0,0.0
E000255,U001,2026-03-05T09:34:00,login,,0,0,DEV-028,0,0,,,0,0.0
E000256,U014,2026-03-05T09:46:00,login,,0,0,DEV-017,0,0,,,0,0.0
E000257,U016,2026-03-05T09:48:00,login,,0,0,DEV-008,0,0,,,0,0.0
E000258,U001,2026-03-05T09:56:00,file_access,RES-028,0,6,DEV-028,0,0,,,0,0.0
E000259,U009,2026-03-05T10:06:00,login,,0,0,DEV-014,0,0,,,0,0.0
E000260,U001,2026-03-05T10:14:00,file_access,RES-030,0,8,DEV-028,0,0,,,0,0.0
E000261,U018,2026-03-05T10:35:00,login,,0,0,DEV-039,0,0,,,0,0.0
E000262,U017,2026-03-05T10:39:00,login,,0,0,DEV-032,0,0,,,0,0.0
E000263,U004,2026-03-05T10:43:00,transaction,,0,0,DEV-003,0,0,,BEN-003,0,1011.93
E000264,U014,2026-03-05T10:47:00,file_access,RES-040,0,10,DEV-017,0,0,,,0,0.0
E000265,U018,2026-03-05T10:49:00,file_access,RES-025,0,17,DEV-039,0,0,,,0,0.0
E000266,U017,2026-03-05T10:55:00,file_access,RES-033,0,6,DEV-032,0,0,,,0,0.0
E000267,U009,2026-03-05T10:59:00,file_access,RES-037,0,12,DEV-014,0,0,,,0,0.0
E000268,U017,2026-03-05T11:05:00,file_access,RES-043,0,20,DEV-032,0,0,,,0,0.0
E000269,U016,2026-03-05T11:06:00,file_access,RES-009,1,17,DEV-008,0,0,,,0,0.0
E000270,U016,2026-03-05T11:18:00,transaction,,0,0,DEV-008,0,0,,BEN-004,0,2655.69
E000271,U018,2026-03-05T11:37:00,file_access,RES-049,0,18,DEV-039,0,0,,,0,0.0
E000272,U014,2026-03-05T11:50:00,transaction,,0,0,DEV-017,0,0,,BEN-026,0,70.78
E000273,U007,2026-03-05T11:59:00,transaction,,0,0,DEV-005,0,0,,BEN-024,0,337.26
E000274,U017,2026-03-05T11:59:00,file_access,RES-038,0,5,DEV-032,0,0,,,0,0.0
E000275,U005,2026-03-05T12:45:00,login,,0,0,DEV-024,0,0,,,0,0.0
E000276,U009,2026-03-05T13:15:00,transaction,,0,0,DEV-014,0,0,,BEN-022,0,0
E000277,U018,2026-03-05T13:24:00,transaction,,0,0,DEV-039,0,0,,BEN-004,0,450.46
E000278,U020,2026-03-05T14:16:00,login,,0,0,DEV-038,0,0,,,0,0.0
