event_id,is_attack,scenario_id,expected_risk_raw,expected_risk_final
E0181,0,,LOW,LOW
E0182,0,,LOW,LOW
E0183,0,,LOW,LOW
E0184,0,,LOW,LOW
E0185,0,,LOW,LOW
E0186,0,,LOW,LOW
E0187,0,,LOW,LOW
E0188,0,,LOW,LOW
E0189,0,,LOW,LOW
E0190,0,,LOW,LOW
E0191,0,,LOW,LOW
E0192,0,,LOW,LOW
E0193,0,,LOW,LOW
E0194,0,,LOW,LOW
E0195,0,,LOW,LOW
E0196,0,,LOW,LOW
E0197,0,,LOW,LOW
E0198,0,,LOW,LOW
E0199,0,,LOW,LOW
E0200,0,,LOW,LOW
E0201,0,,LOW,LOW
E0202,0,,LOW,LOW
E0203,0,,LOW,LOW
E0204,0,,LOW,LOW
E0205,0,,LOW,LOW
E0206,0,,LOW,LOW
E0207,0,,LOW,LOW
E0208,0,,LOW,LOW
E0209,0,,LOW,LOW
E0210,0,,LOW,LOW
E0211,0,,LOW,LOW
E0212,0,,LOW,LOW
E0213,0,,LOW,LOW
E0214,0,,LOW,LOW
E0215,0,,LOW,LOW
E0216,0,,LOW,LOW
E0217,0,,LOW,LOW
E0218,0,,LOW,LOW
E0219,0,,LOW,LOW
E0220,0,,LOW,LOW
E0221,0,,LOW,LOW
E0222,0,,LOW,LOW
E0223,0,,LOW,LOW
E0224,0,,LOW,LOW
E0225,0,,LOW,LOW
E0226,0,,LOW,LOW
E0227,0,,LOW,LOW
E0228,0,,LOW,LOW
E0229,0,,LOW,LOW
E0230,0,,LOW,LOW
E0231,0,,LOW,LOW
E0232,0,,LOW,LOW
E0233,0,,LOW,LOW
E0234,0,,LOW,LOW
E0235,0,,LOW,LOW
E0236,0,,LOW,LOW
E0237,0,,LOW,LOW
E0238,0,,LOW,LOW
E0239,0,,LOW,LOW
E0240,0,,LOW,LOW
E0241,0,,LOW,LOW
E0242,0,,LOW,LOW
E0243,0,,LOW,LOW
E0244,0,,LOW,LOW
E0245,0,,LOW,LOW
E0246,0,,LOW,LOW
E0247,0,,LOW,LOW
E0248,0,,LOW,LOW
E0249,0,,LOW,LOW
E0250,0,,LOW,LOW
E0251,0,,LOW,LOW
E0252,0,,LOW,LOW
E0253,0,,LOW,LOW
E0254,0,,LOW,LOW
E0255,0,,LOW,LOW
E0256,0,,LOW,LOW
E0257,0,,LOW,LOW
E0258,0,,LOW,LOW
E0259,0,,LOW,LOW
E0260,0,,LOW,LOW
E0261,0,,LOW,LOW
E0262,0,,LOW,LOW
E0263,0,,LOW,LOW
E0264,0,,LOW,LOW
E0265,0,,LOW,LOW
E0266,0,,LOW,LOW
E0267,0,,LOW,LOW
E0268,0,,LOW,LOW
E0269,0,,LOW,LOW
E0270,0,,LOW,LOW
E0271,0,,LOW,LOW
E0272,0,,LOW,LOW
E0273,0,,LOW,LOW
E0274,0,,LOW,LOW
E0275,0,,LOW,LOW
E0276,0,,LOW,LOW
E0277,0,,LOW,LOW
E0278,0,,LOW,LOW
E0279,0,,LOW,LOW
E0280,0,,LOW,LOW
E0281,0,,LOW,LOW
E0282,0,,LOW,LOW
E0283,0,,LOW,LOW
E0284,0,,LOW,LOW
E0285,0,,LOW,LOW
E0286,0,,LOW,LOW
E0287,0,,LOW,LOW
E0288,0,,LOW,LOW
E0289,0,,LOW,LOW
E0290,0,,LOW,LOW
E0291,0,,LOW,LOW
E0292,0,,LOW,LOW
E0293,0,,LOW,LOW
E0294,0,,LOW,LOW
E0295,0,,LOW,LOW
E0296,0,,LOW,LOW
E0297,0,,LOW,LOW
E0298,0,,LOW,LOW
E0299,0,,LOW,LOW
E0300,0,,LOW,LOW
E0301,0,,LOW,LOW
E0302,0,,LOW,LOW
E0303,0,,LOW,LOW
E0304,0,,LOW,LOW
E0305,0,,LOW,LOW
E0306,0,,LOW,LOW
E0307,0,,LOW,LOW
E0308,0,,LOW,LOW
E0309,0,,LOW,LOW
E0310,0,,LOW,LOW
E0311,0,,LOW,LOW
E0312,0,,LOW,LOW
E0313,0,,LOW,LOW
E0314,0,,LOW,LOW
E0315,0,,LOW,LOW
E0316,0,,LOW,LOW
E0317,0,,LOW,LOW
E0318,0,,LOW,LOW
E0319,0,,LOW,LOW
E0320,0,,LOW,LOW
E0321,0,,LOW,LOW
E0322,0,,LOW,LOW
E0323,0,,LOW,LOW
E0324,0,,LOW,LOW
E0325,0,,LOW,LOW
E0326,0,,LOW,LOW
E0327,0,,LOW,LOW
E0328,0,,LOW,LOW
E0329,0,,LOW,LOW
E0330,0,,LOW,LOW
E0331,0,,LOW,LOW
E0332,0,,LOW,LOW
E0333,0,,LOW,LOW
E0334,0,,LOW,LOW
E0335,0,,LOW,LOW
E0336,0,,LOW,LOW
E0337,0,,LOW,LOW
E0338,0,,LOW,LOW
E0339,0,,LOW,LOW
E0340,0,,LOW,LOW
E0341,0,,LOW,LOW
E0342,0,,LOW,LOW
E0343,0,,LOW,LOW
E0344,0,,LOW,LOW
E0345,0,,LOW,LOW
E0346,0,,LOW,LOW
E0347,0,,LOW,LOW
E0348,0,,LOW,LOW
E0349,0,,LOW,LOW
E0350,0,,LOW,LOW
E0351,0,,LOW,LOW
E0352,0,,LOW,LOW
E0353,0,,LOW,LOW
E0354,0,,LOW,LOW
E0355,0,,LOW,LOW
E0356,0,,LOW,LOW
E0357,0,,LOW,LOW
E0358,0,,LOW,LOW
E0359,0,,LOW,LOW
E0360,0,,LOW,LOW
E0361,0,,LOW,LOW
E0362,0,,LOW,LOW
E0363,0,,LOW,LOW
E0364,0,,LOW,LOW
E0365,0,,LOW,LOW
E0366,0,,LOW,LOW
E0367,0,,LOW,LOW
E0368,0,,LOW,LOW
E0369,0,,LOW,LOW
E0370,0,,LOW,LOW
E0371,0,,LOW,LOW
E0372,0,,LOW,LOW
E0373,0,,LOW,LOW
E0374,0,,LOW,LOW
E0375,0,,LOW,LOW
E0376,0,,LOW,LOW
E0377,0,,LOW,LOW
E0378,0,,LOW,LOW
E0379,0,,LOW,LOW
E0380,0,,LOW,LOW
E0381,0,,LOW,LOW
E0382,0,,LOW,LOW
E0383,0,,LOW,LOW
E0384,0,,LOW,LOW
E0385,0,,LOW,LOW
E0386,0,,LOW,LOW
E0387,0,,LOW,LOW
E0388,0,,LOW,LOW
E0389,0,,LOW,LOW
E0390,0,,LOW,LOW
E0391,0,,LOW,LOW
E0392,0,,LOW,LOW
E0393,0,,LOW,LOW
E0394,0,,LOW,LOW
E0395,0,,LOW,LOW
E0396,0,,LOW,LOW
E0397,0,,LOW,LOW
E0398,0,,LOW,LOW
E0399,0,,LOW,LOW
E0400,0,,LOW,LOW
E0401,0,SCEN_3_FALSE_POSITIVE,LOW,LOW
E0402,0,SCEN_3_FALSE_POSITIVE,HIGH,MODERATE
E0403,1,SCEN_2_ATTACK,LOW,LOW
E0404,1,SCEN_2_ATTACK,MODERATE,MODERATE
E0405,1,SCEN_2_ATTACK,HIGH,HIGH
E0406,1,SCEN_2_ATTACK,HIGH,HIGH
E0407,1,SCEN_2_ATTACK,CRITICAL,CRITICAL
E0408,1,SCEN_2_ATTACK,CRITICAL,CRITICAL
E0409,0,SCEN_1_NORMAL,LOW,LOW
E0410,0,SCEN_1_NORMAL,LOW,LOW
E0411,0,SCEN_1_NORMAL,LOW,LOW
E0412,0,SCEN_1_NORMAL,LOW,LOW
