event_id,user_id,timestamp,event_type,m13_risk_score,m13_risk_level,m13_attack_prediction,m13_detection_confidence,m14_attack_stage,m14_suspicious_event,m14_campaign_id,campaign_event_count,campaign_users,campaign_stages,campaign_duration_minutes,campaign_progression_score,campaign_risk_score,campaign_risk_level,campaign_confidence,attack_chain_detected,m14_final_risk_score,m14_final_risk_level,m14_campaign_explanation,m14_recommended_action
E000508,U013,,login,25.62,LOW-MODERATE,0,43.36,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,25.62,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000580,U019,,login,20.1,LOW-MODERATE,0,37.74,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,20.1,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000582,U019,,transaction,16.52,LOW,0,34.84,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,16.52,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000275,U005,,login,16.51,LOW,0,34.71,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,16.51,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000679,U012,,transaction,16.21,LOW,0,34.84,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,16.21,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000426,U003,,transaction,14.39,LOW,0,34.84,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,14.39,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000211,U020,,transaction,14.18,LOW,0,34.84,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,14.18,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000045,U018,,transaction,14.1,LOW,0,34.84,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,14.1,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000335,U011,,transaction,13.22,LOW,0,33.53,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,13.22,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000629,U017,,transaction,13.12,LOW,0,32.53,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,13.12,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000162,U012,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000005,U012,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000670,U012,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000155,U019,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000442,U019,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000511,U019,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000228,U012,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000300,U012,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000583,U006,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000366,U013,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000079,U013,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000153,U013,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000296,U006,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000438,U006,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000154,U015,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000514,U015,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000365,U006,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000003,U015,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000297,U015,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000226,U015,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000001,U006,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000002,U019,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000657,U013,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000225,U013,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000440,U013,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000509,U006,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000658,U019,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000367,U019,,login,12.66,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.66,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000680,U001,,login,12.27,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.27,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000526,U004,,login,12.27,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.27,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000528,U007,,login,12.27,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,12.27,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000706,U009,,transaction,11.55,LOW,0,18.16,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,11.55,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000343,U003,,login,11.16,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,11.16,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000053,U003,,login,11.16,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,11.16,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000420,U003,,login,11.16,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,11.16,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000641,U003,,login,11.16,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,11.16,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000065,U020,,login,11.16,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,11.16,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000205,U003,,login,11.16,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,11.16,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000146,U003,,login,11.16,LOW,0,23.11,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,11.16,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000207,U020,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000717,U008,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000642,U008,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000559,U010,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000134,U008,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000020,U017,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000462,U017,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000337,U009,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000204,U008,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000489,U010,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000558,U020,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000419,U020,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000491,U005,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000339,U005,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000135,U005,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000422,U005,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000643,U005,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000640,U010,,login,10.77,LOW,0,23.89,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.77,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000520,U015,,transaction,10.02,LOW,0,17.16,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,10.02,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000480,U014,,transaction,9.87,LOW,0,17.03,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.87,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000099,U002,,transaction,9.49,LOW,0,17.03,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.49,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000452,U013,,transaction,9.43,LOW,0,17.03,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.43,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000304,U012,,transaction,9.42,LOW,0,17.03,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.42,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000312,U013,,transaction,9.4,LOW,0,17.03,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.4,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000014,U012,,transaction,9.39,LOW,0,17.03,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.39,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000190,U002,,transaction,9.37,LOW,0,17.03,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.37,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000458,U004,,transaction,9.28,LOW,0,17.03,IMPACT,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.28,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000587,U013,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000007,U013,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000164,U006,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000662,U015,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000518,U012,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000303,U013,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000078,U012,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000227,U019,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000298,U019,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000073,U019,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000229,U006,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000661,U006,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000589,U015,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000443,U015,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000075,U006,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000377,U012,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000592,U012,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
E000451,U012,,login,9.26,LOW,0,23.76,INITIAL_ACCESS,0,NONE,0.0,0.0,NONE,0.0,0.0,0.0,LOW,0.0,0,9.26,LOW,NO ATTACK CAMPAIGN DETECTED,CONTINUE MONITORING
